sim_id,case_id,field_file,B0_MHz,B0_T,J_IS,k_ex,p_B,dw_N,B1_N,tau_m,tau_e,S2,r_IS,r_eff,csa_N,theta_N_rad,theta_N_deg,I0,relative_esd,noise_enabled,seed,repeated_ncyc,valid_points,nonfinite_points,skipped_count,skipped_ncyc
80,80,Data/600MHz/sim_000080_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.061111111111111116,2.7857142857142856,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,58;72;42,40,0,0,
81,81,Data/600MHz/sim_000081_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.061111111111111116,3.142857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,58;30;62,40,0,0,
82,82,Data/600MHz/sim_000082_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.061111111111111116,3.5,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,44;6;40,40,0,0,
83,83,Data/600MHz/sim_000083_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.061111111111111116,3.857142857142857,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,24;8;6,40,0,0,
84,84,Data/600MHz/sim_000084_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.061111111111111116,4.214285714285714,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,58;14;12,40,0,0,
85,85,Data/600MHz/sim_000085_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.061111111111111116,4.571428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,80;68;16,40,0,0,
86,86,Data/600MHz/sim_000086_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.061111111111111116,4.928571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,20;70;16,40,0,0,
87,87,Data/600MHz/sim_000087_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.061111111111111116,5.285714285714286,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,64;18;48,40,0,0,
88,88,Data/600MHz/sim_000088_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.061111111111111116,5.642857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,74;44;80,40,0,0,
89,89,Data/600MHz/sim_000089_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.061111111111111116,6.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,62;74;56,40,0,0,
90,90,Data/600MHz/sim_000090_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.06333333333333334,1.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,74;14;66,40,0,0,
91,91,Data/600MHz/sim_000091_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.06333333333333334,1.3571428571428572,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,26;34;32,40,0,0,
92,92,Data/600MHz/sim_000092_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.06333333333333334,1.7142857142857144,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,70;28;30,40,0,0,
93,93,Data/600MHz/sim_000093_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.06333333333333334,2.071428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,28;8;30,40,0,0,
94,94,Data/600MHz/sim_000094_1N-HN.out,600.0,14.091966957139045,0.0,300.0,0.06333333333333334,2.428571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,52;72;74,40,0,0,
